доля ошибок для обучения в % : 0.22666666666666668
доля ошибок для test в %: 0.5333333333333333

по итогам анализа использую модель : RandomForestRegressor( n_estimators=50, random_state=1) # случайный лес
гипер-параметры настроены без особого упорства, главное был выбор схемы обработки результатов регрессора в классификатор, обработка входов - полиномизация (2 порядок), как результат анализа нескольких моделей предобработки 
             A            B                     C                 target_rez                my_rez
 A:542.6592609618266  B:906.158539227025  C:-913.6598018136068  y_true:гипер.  y_pred:гипер.
 A:388.0953961040059  B:362.49539826948427  C:416.18067055595185  y_true:эллипс  y_pred:эллипс
 A:108.63854040609455  B:-805.9561649369083  C:583.6143257712274  y_true:гипер.  y_pred:гипер.
 A:-15.928106861790692  B:391.35124058637615  C:-727.1986714229131  y_true:гипер.  y_pred:гипер.
 A:471.1176365251888  B:735.7789247345773  C:-795.7229107288753  y_true:гипер.  y_pred:гипер.
 A:-203.17576900039035  B:482.52559673275596  C:297.05035035931826  y_true:гипер.  y_pred:гипер.
 A:-471.5336873480718  B:411.17573993979397  C:533.37124145967  y_true:гипер.  y_pred:гипер.
 A:-476.30101828444094  B:-782.4241328307535  C:-497.26746196813434  y_true:гипер.  y_pred:гипер.
 A:839.0953476598178  B:622.5938173984596  C:838.3660227279705  y_true:эллипс  y_pred:эллипс
 A:-543.076467459318  B:-77.56178597527641  C:191.95784671247586  y_true:гипер.  y_pred:гипер.
 A:-532.1998514710953  B:665.7480916911259  C:75.91885140486343  y_true:гипер.  y_pred:гипер.
 A:202.33664800815922  B:-771.3191288284869  C:186.23134820303133  y_true:гипер.  y_pred:гипер.
 A:456.7119429201414  B:222.23545109831332  C:-387.7644418710575  y_true:гипер.  y_pred:гипер.
 A:-368.2328689992562  B:-467.1557613707429  C:791.9431396583343  y_true:гипер.  y_pred:гипер.
 A:-15.969858132318215  B:879.7755421233276  C:-546.6829563731754  y_true:гипер.  y_pred:гипер.
 A:-42.33725425357249  B:-877.6771801220887  C:-651.3633451438765  y_true:гипер.  y_pred:гипер.
 A:449.7382124552545  B:162.5420281763188  C:762.1678537434178  y_true:эллипс  y_pred:эллипс
 A:-34.90655650144148  B:-547.6144644321796  C:792.1569900773777  y_true:гипер.  y_pred:гипер.
 A:919.7333732861064  B:-572.5351409300299  C:956.8073312463343  y_true:эллипс  y_pred:эллипс
 A:282.04561495369495  B:83.49261863093017  C:-590.8964757884997  y_true:гипер.  y_pred:гипер.
 A:-570.2016732918445  B:-174.07778680522034  C:299.66221288123387  y_true:гипер.  y_pred:гипер.
 A:-584.0350490312012  B:731.4663044455356  C:-423.62548538757005  y_true:гипер.  y_pred:гипер.
 A:636.5841921313951  B:229.40255571550173  C:444.64243863727626  y_true:эллипс  y_pred:эллипс
 A:-716.5690728671478  B:-544.2277058961411  C:711.1230065047345  y_true:гипер.  y_pred:гипер.
 A:-535.2557373714375  B:-588.5625066067046  C:-265.11067163947087  y_true:гипер.  y_pred:гипер.
 A:-916.462087128036  B:955.1564100412008  C:-461.7344188873425  y_true:гипер.  y_pred:гипер.
 A:585.2076736846385  B:-952.6590518596876  C:-931.2079578822377  y_true:гипер.  y_pred:гипер.
 A:645.1789124934355  B:587.851596855077  C:-459.4994767995821  y_true:гипер.  y_pred:гипер.
 A:-273.67868722280764  B:210.22022514625638  C:-607.5879051191972  y_true:эллипс  y_pred:эллипс
 A:626.0459540821362  B:708.6789158625104  C:-602.7780776087461  y_true:гипер.  y_pred:гипер.
 A:-419.2155054610107  B:-585.4535631209317  C:-996.5562334784173  y_true:эллипс  y_pred:эллипс
 A:-493.38984873693437  B:728.7054861928752  C:296.86725620850376  y_true:гипер.  y_pred:гипер.
 A:964.6044287750207  B:25.461677438953558  C:822.6220612852397  y_true:эллипс  y_pred:эллипс
 A:462.0290471543402  B:-216.40225569407966  C:-534.8890153550736  y_true:гипер.  y_pred:гипер.
 A:992.2361655505896  B:493.34364168633306  C:-984.084122044988  y_true:гипер.  y_pred:гипер.
 A:711.519656296379  B:993.5073209754888  C:-298.94059393909964  y_true:гипер.  y_pred:гипер.
 A:-233.71718532599627  B:62.9941345092464  C:454.94101051907387  y_true:гипер.  y_pred:гипер.
 A:995.2090469769926  B:-378.94947682548553  C:-733.7818851183364  y_true:гипер.  y_pred:гипер.
 A:869.7287954136059  B:944.8840602123043  C:290.09839923204316  y_true:гипер.  y_pred:гипер.
 A:-312.74672753074117  B:-854.2116347968076  C:43.171480022571764  y_true:гипер.  y_pred:гипер.
 A:72.46513537116006  B:375.8022475351006  C:889.3743455508993  y_true:гипер.  y_pred:гипер.
 A:-710.2826240222271  B:-400.8538762606475  C:914.8097964690867  y_true:гипер.  y_pred:гипер.
 A:809.6190192157169  B:-554.531484909377  C:-45.99414804623003  y_true:гипер.  y_pred:гипер.
 A:674.7418305155011  B:-686.4890916848774  C:475.77454879808977  y_true:гипер.  y_pred:гипер.
 A:-638.4804557269974  B:-87.96124219919687  C:843.201494056151  y_true:гипер.  y_pred:гипер.
 A:-218.70700624715923  B:-148.76713669465946  C:614.4299181185224  y_true:гипер.  y_pred:гипер.
 A:105.15143526361581  B:728.9481864134848  C:-415.51735512182785  y_true:гипер.  y_pred:гипер.
 A:455.80910224345405  B:-672.454867986559  C:-473.81209573382387  y_true:гипер.  y_pred:гипер.
 A:-884.6871154046237  B:-978.5169255572148  C:783.9120971551334  y_true:гипер.  y_pred:гипер.
 A:211.97227586483547  B:-431.273423552228  C:657.5017305982376  y_true:гипер.  y_pred:гипер.
 A:160.87719910193778  B:443.7645528670844  C:300.33453448566115  y_true:гипер.  y_pred:гипер.
 A:-679.979148581294  B:-447.28664169074796  C:864.1265006176462  y_true:гипер.  y_pred:гипер.
 A:-378.2743996238238  B:619.3677419756516  C:903.3900967902117  y_true:гипер.  y_pred:гипер.
 A:-835.1418830455086  B:211.9610632936655  C:216.48174720915648  y_true:гипер.  y_pred:гипер.
 A:349.462077998627  B:857.843136564578  C:84.04127571358177  y_true:гипер.  y_pred:гипер.
 A:750.2560069480462  B:-636.2863879992009  C:-411.08342105407326  y_true:гипер.  y_pred:гипер.
 A:-152.67907394927073  B:510.90384268150245  C:312.2745570631065  y_true:гипер.  y_pred:гипер.
 A:-971.310273498756  B:-478.50921100562925  C:296.68488403385584  y_true:гипер.  y_pred:гипер.
 A:-972.3461680730871  B:543.7350821475388  C:-75.74578550430732  y_true:гипер.  y_pred:гипер.
 A:730.2059644848986  B:-733.8454420755068  C:313.73120053624734  y_true:гипер.  y_pred:гипер.
 A:938.9677477080596  B:-274.01371498589145  C:711.5297505796694  y_true:эллипс  y_pred:эллипс
 A:-266.0782506289647  B:-38.08984513142977  C:-802.2186193216911  y_true:эллипс  y_pred:эллипс
 A:272.4800422808271  B:914.5570985650515  C:695.4354452044229  y_true:гипер.  y_pred:гипер.
 A:539.5734401103493  B:-726.8108569712217  C:-416.6771054183234  y_true:гипер.  y_pred:гипер.
 A:-142.7107862165704  B:-209.5240300166452  C:475.4203869873652  y_true:гипер.  y_pred:гипер.
 A:-832.8643524663066  B:-937.1755364121834  C:788.0148904695019  y_true:гипер.  y_pred:гипер.
 A:-382.5731561287367  B:47.74547642215832  C:52.94376771954945  y_true:гипер.  y_pred:гипер.
 A:266.81803662118097  B:-364.0039287050159  C:-759.850657920377  y_true:гипер.  y_pred:гипер.
 A:-636.3079244223416  B:-170.227634890747  C:438.0400152150992  y_true:гипер.  y_pred:гипер.
 A:-478.34842117392174  B:-546.7481254063335  C:-548.1423749363399  y_true:гипер.  y_pred:гипер.
 A:-91.61656404945151  B:693.5120304641284  C:-834.7246163539071  y_true:гипер.  y_pred:гипер.
 A:486.53974836718163  B:64.1255780975396  C:-669.7908979121484  y_true:гипер.  y_pred:гипер.
 A:-993.5298972578619  B:911.4909943641616  C:976.9520726556416  y_true:гипер.  y_pred:гипер.
 A:-843.0507511395657  B:667.0188348954358  C:914.8027103604162  y_true:гипер.  y_pred:гипер.
 A:711.1056491358783  B:-456.9624103563943  C:15.55932912786595  y_true:гипер.  y_pred:гипер.
 A:531.472434944479  B:-777.2019356449354  C:469.33210243637546  y_true:гипер.  y_pred:гипер.
 A:872.4763616950993  B:756.8832598643243  C:716.6844917281754  y_true:эллипс  y_pred:эллипс
 A:-470.6996577434206  B:973.7113186877975  C:-882.745552476564  y_true:гипер.  y_pred:гипер.
 A:-310.3323955469337  B:213.3288253597303  C:-390.09127546863476  y_true:эллипс  y_pred:эллипс
 A:-819.9725027601302  B:-169.19808351107113  C:906.049133170191  y_true:гипер.  y_pred:гипер.
 A:-590.091538382897  B:-815.403419732827  C:-883.6971513521421  y_true:гипер.  y_pred:гипер.
 A:-871.5900967543681  B:-674.1191105966999  C:-940.6687946361257  y_true:эллипс  y_pred:эллипс
 A:41.79134391591588  B:-369.76957891637863  C:-825.5047028623636  y_true:гипер.  y_pred:гипер.
 A:-5.646357290338466  B:-831.8250096379049  C:761.2663433164807  y_true:гипер.  y_pred:гипер.
 A:-751.9361937979934  B:635.1934008714113  C:-227.5139758457938  y_true:гипер.  y_pred:гипер.
 A:-759.6136539923685  B:-828.5099133820157  C:-769.6565339313765  y_true:гипер.  y_pred:гипер.
 A:800.9490202800125  B:-30.202639761455874  C:-304.6521344902324  y_true:гипер.  y_pred:гипер.
 A:134.57866928180516  B:-659.017428532765  C:414.99180877875096  y_true:гипер.  y_pred:гипер.
 A:-558.0807029647909  B:-486.57667963864594  C:-672.1893632965173  y_true:эллипс  y_pred:эллипс
 A:241.2746159033281  B:225.858658625677  C:456.73597216076314  y_true:эллипс  y_pred:эллипс
 A:-457.1880520566676  B:-669.4017744174461  C:-28.517760232765088  y_true:гипер.  y_pred:гипер.
 A:534.4963496406255  B:-321.96697844337143  C:-471.83853111116167  y_true:гипер.  y_pred:гипер.
 A:151.44535547460447  B:-59.51718732616173  C:-65.05400028688291  y_true:гипер.  y_pred:гипер.
 A:-436.8736180578352  B:-475.0487839944637  C:465.54392556184564  y_true:гипер.  y_pred:гипер.
 A:-407.97206481247093  B:178.31879507120374  C:-21.85274323147146  y_true:гипер.  y_pred:гипер.
 A:-984.9130074495496  B:143.6831312758291  C:84.06172024604031  y_true:гипер.  y_pred:гипер.
 A:337.6785093617176  B:312.65146127447997  C:-614.0509034548589  y_true:гипер.  y_pred:гипер.
 A:-926.9599822770749  B:265.238058366257  C:251.02502836471353  y_true:гипер.  y_pred:гипер.
 A:359.11765632961254  B:-23.925455318713375  C:-24.4326339167078  y_true:гипер.  y_pred:гипер.
 A:-876.5478335717405  B:-58.167856169893724  C:-966.377953952585  y_true:эллипс  y_pred:эллипс
 A:-866.3704282333254  B:991.5866270236027  C:224.97941416564095  y_true:гипер.  y_pred:гипер.
 A:103.77252618033572  B:710.481603379384  C:-399.5447654375179  y_true:гипер.  y_pred:гипер.
 A:-506.36232374158243  B:710.814289011727  C:206.5644085769387  y_true:гипер.  y_pred:гипер.
 A:792.8235898873575  B:-304.82050586497  C:583.2768385966489  y_true:эллипс  y_pred:эллипс
 A:428.2278246325779  B:-112.31394585509324  C:-281.26838442659886  y_true:гипер.  y_pred:гипер.
 A:-680.7886898740035  B:219.24156346177037  C:979.7377058426329  y_true:гипер.  y_pred:гипер.
 A:-487.5084214040042  B:-110.01875157359065  C:-886.1151771128413  y_true:эллипс  y_pred:эллипс
 A:-524.100442773725  B:-238.79312671179088  C:-912.4895973927669  y_true:эллипс  y_pred:эллипс
 A:241.74429965623335  B:-233.18302359627242  C:-44.024610651228535  y_true:гипер.  y_pred:гипер.
 A:998.9908110015939  B:564.14191542145  C:626.4071467821095  y_true:эллипс  y_pred:эллипс
 A:-416.6278669050434  B:706.8020018694576  C:-43.152562947677666  y_true:гипер.  y_pred:гипер.
 A:-30.92641056269807  B:853.9043179226574  C:-374.87194259522096  y_true:гипер.  y_pred:гипер.
 A:141.57322715590448  B:-77.8809272161316  C:472.36274237286244  y_true:эллипс  y_pred:эллипс
 A:720.3658543169342  B:618.5039378080395  C:139.18977052117353  y_true:гипер.  y_pred:гипер.
 A:-678.4958039349882  B:-688.1856996017257  C:805.2323019112478  y_true:гипер.  y_pred:гипер.
 A:-0.4013095696371316  B:-117.13677308810189  C:-116.46038144424864  y_true:гипер.  y_pred:гипер.
 A:-935.162810934824  B:-683.6969184225629  C:92.2202388855935  y_true:гипер.  y_pred:гипер.
 A:306.251312991064  B:-237.9946003857152  C:-465.2856231304461  y_true:гипер.  y_pred:гипер.
 A:-347.7096965525297  B:-696.5608489847706  C:389.29477137358595  y_true:гипер.  y_pred:гипер.
 A:580.0186137244323  B:951.7279713689715  C:-712.773407394647  y_true:гипер.  y_pred:гипер.
 A:645.1820436221705  B:-663.4340923084947  C:985.6143665413259  y_true:эллипс  y_pred:эллипс
 A:822.2143925902578  B:-593.49023982441  C:227.68985834246314  y_true:гипер.  y_pred:гипер.
 A:-353.2198582114403  B:-669.3544772040314  C:-393.1600393774224  y_true:гипер.  y_pred:гипер.
 A:-544.6487956022302  B:-556.9419325649911  C:467.31458617167476  y_true:гипер.  y_pred:гипер.
 A:-757.1635119563516  B:352.45887818539677  C:-508.06753463768837  y_true:эллипс  y_pred:эллипс
 A:-396.2596231232234  B:-939.8558737947695  C:777.3631384244246  y_true:гипер.  y_pred:гипер.
 A:-847.9490021697893  B:-529.8339905507552  C:581.606678285149  y_true:гипер.  y_pred:гипер.
 A:-430.61402915467227  B:385.8275119747392  C:974.7009508614995  y_true:гипер.  y_pred:гипер.
 A:-341.5561586096103  B:40.26860325291959  C:504.67781920161656  y_true:гипер.  y_pred:гипер.
 A:122.3040678627192  B:-106.9424996002728  C:-368.4774819396483  y_true:гипер.  y_pred:гипер.
 A:648.4666461611861  B:889.9647330290319  C:-79.15489622612282  y_true:гипер.  y_pred:гипер.
 A:-820.8949518379782  B:889.6868107441543  C:668.2640271099048  y_true:гипер.  y_pred:гипер.
 A:890.4768650169534  B:947.9040975056754  C:108.15972524426742  y_true:гипер.  y_pred:гипер.
 A:-674.0496708479113  B:-555.8796225833398  C:-968.6775679335777  y_true:эллипс  y_pred:эллипс
 A:888.4416856810186  B:76.3569732156566  C:-772.2765726224858  y_true:гипер.  y_pred:гипер.
 A:-452.74740671518333  B:-431.94523586715496  C:-338.86774724295486  y_true:гипер.  y_pred:гипер.
 A:-900.7177626508347  B:347.4485478087814  C:-600.6193827489296  y_true:эллипс  y_pred:эллипс
 A:-882.8643384879493  B:221.86829326741608  C:738.6936675960671  y_true:гипер.  y_pred:гипер.
 A:-555.0998892581463  B:439.39037707488706  C:-806.0526237010062  y_true:эллипс  y_pred:эллипс
 A:278.39011626239363  B:-858.4553907163295  C:817.1132265496555  y_true:гипер.  y_pred:гипер.
 A:-634.5466861967819  B:55.860621701175674  C:133.6540233482737  y_true:гипер.  y_pred:гипер.
 A:-45.91101036252376  B:529.9741323288372  C:637.1892324929349  y_true:гипер.  y_pred:гипер.
 A:-328.10254466491284  B:-764.8073216588903  C:851.3196965037595  y_true:гипер.  y_pred:гипер.
 A:538.6833866582452  B:829.9680796858162  C:-848.0913624981241  y_true:гипер.  y_pred:гипер.
 A:937.4688010638192  B:-404.2535236745395  C:47.60602556808347  y_true:гипер.  y_pred:гипер.
 A:-324.91204214497446  B:-932.7348122888058  C:915.8556655751853  y_true:гипер.  y_pred:гипер.
 A:911.2749679936147  B:-418.69123474734704  C:-885.5858788109681  y_true:гипер.  y_pred:гипер.
 A:-508.56702302019283  B:786.817089015071  C:235.29070060341573  y_true:гипер.  y_pred:гипер.
 A:-897.9376737915186  B:-245.82882095775238  C:-441.36863375333024  y_true:эллипс  y_pred:эллипс
 A:536.3657217002738  B:-15.590418627930314  C:773.9373201648796  y_true:эллипс  y_pred:эллипс
 A:-225.9377916889993  B:-523.2323640334345  C:860.8392762044516  y_true:гипер.  y_pred:гипер.
 A:866.7506104881954  B:-553.4253983321445  C:41.3540810961448  y_true:гипер.  y_pred:гипер.
 A:700.659147574201  B:655.4206094968908  C:-473.7452239278235  y_true:гипер.  y_pred:гипер.
 A:-560.8759702071043  B:-462.4793377265757  C:-600.8405323767396  y_true:эллипс  y_pred:эллипс
 A:-967.6231125249111  B:889.1074702957635  C:-200.2284029962458  y_true:гипер.  y_pred:гипер.
 A:906.7662297231525  B:-234.9413512922438  C:490.8686718090338  y_true:эллипс  y_pred:эллипс
 A:268.63540124706685  B:238.69953512532584  C:841.6382162662792  y_true:эллипс  y_pred:эллипс
 A:29.649903464602055  B:127.57157011450771  C:453.5645557633077  y_true:гипер.  y_pred:гипер.
 A:-293.2175765921703  B:-148.74732584103256  C:-539.2811146094039  y_true:эллипс  y_pred:эллипс
 A:587.5554266561243  B:447.1965398017377  C:569.2617639114801  y_true:эллипс  y_pred:эллипс
 A:-337.7043263910473  B:-440.220439665421  C:-183.60348022380091  y_true:гипер.  y_pred:гипер.
 A:-849.2449085134708  B:-894.0550363581252  C:-119.7147754487049  y_true:гипер.  y_pred:гипер.
 A:849.3389541993979  B:983.3542562139404  C:479.4674817162887  y_true:гипер.  y_pred:гипер.
 A:-831.5438013634166  B:-50.41993546143764  C:906.8120185046256  y_true:гипер.  y_pred:гипер.
 A:-628.7382815428992  B:855.2557763538031  C:43.44276086519172  y_true:гипер.  y_pred:гипер.
 A:-595.0356700076688  B:-476.3897205974468  C:-347.7133780401478  y_true:гипер.  y_pred:гипер.
 A:563.4458221513321  B:-972.8947731450877  C:942.4743731125535  y_true:гипер.  y_pred:гипер.
 A:222.35122886683632  B:-992.5997654516264  C:-652.1310268040057  y_true:гипер.  y_pred:гипер.
 A:-570.0531920323868  B:-13.403881016789132  C:583.7060477021345  y_true:гипер.  y_pred:гипер.
 A:505.49834947098884  B:-102.83368930300685  C:451.75710308904104  y_true:эллипс  y_pred:эллипс
 A:589.0021771965118  B:111.2914254193107  C:202.91924646524805  y_true:эллипс  y_pred:эллипс
 A:204.15956652287437  B:-49.63819136460379  C:-990.8113514791845  y_true:гипер.  y_pred:гипер.
 A:789.3681723964102  B:-128.20747820967492  C:-469.3015244706169  y_true:гипер.  y_pred:гипер.
 A:-558.4555343332356  B:-68.5415794027624  C:350.8270188669993  y_true:гипер.  y_pred:гипер.
 A:856.8033845600942  B:456.279615740077  C:702.322028392684  y_true:эллипс  y_pred:эллипс
 A:-51.239099956014165  B:256.7162430162433  C:565.624854762744  y_true:гипер.  y_pred:гипер.
 A:-742.1330579437531  B:47.06767104361642  C:361.35697576678496  y_true:гипер.  y_pred:гипер.
 A:-932.3409260569913  B:-598.3069270095631  C:-532.5764525837328  y_true:эллипс  y_pred:эллипс
 A:-543.1746424908981  B:89.17680684456109  C:-118.63921060305404  y_true:эллипс  y_pred:эллипс
 A:-973.336784878184  B:400.32806968387536  C:-341.5213451133563  y_true:эллипс  y_pred:эллипс
 A:-838.5404917373405  B:468.5742543129989  C:-198.7522811400546  y_true:гипер.  y_pred:гипер.
 A:582.941098659687  B:249.34117993612625  C:-7.26583106648504  y_true:гипер.  y_pred:гипер.
 A:242.1199742514233  B:922.2967873496095  C:988.8756410240683  y_true:гипер.  y_pred:гипер.
 A:-53.87642221067268  B:85.24742260533813  C:-659.9892984137872  y_true:эллипс  y_pred:эллипс
 A:-993.0586277485888  B:617.4540961327401  C:-234.93109102369036  y_true:гипер.  y_pred:гипер.
 A:-39.13970631239572  B:516.9381972910514  C:86.7958889975844  y_true:гипер.  y_pred:гипер.
 A:-376.1676411139916  B:-856.1464263562575  C:576.0414291378881  y_true:гипер.  y_pred:гипер.
 A:427.34782710363083  B:-942.8734569014341  C:-953.7173586173626  y_true:гипер.  y_pred:гипер.
 A:-941.9086083388341  B:-124.25947570445261  C:983.8500355359174  y_true:гипер.  y_pred:гипер.
 A:443.76915984795164  B:-761.0849320718052  C:318.8725617848493  y_true:гипер.  y_pred:гипер.
 A:-630.2967090402392  B:708.5923888610101  C:-884.8037483033763  y_true:эллипс  y_pred:эллипс
 A:-851.6916521935858  B:-412.91067208078647  C:-959.1327354887711  y_true:эллипс  y_pred:эллипс
 A:37.10373240020681  B:184.18130253373377  C:934.7126622668327  y_true:эллипс  y_pred:эллипс
 A:-161.5693339115811  B:-980.5224849946326  C:-170.44606465771705  y_true:гипер.  y_pred:гипер.
 A:-328.82723451254935  B:-881.9472964632888  C:-730.3393550555948  y_true:гипер.  y_pred:гипер.
 A:-109.6563180368617  B:-585.1750537755422  C:-173.61401548670963  y_true:гипер.  y_pred:гипер.
 A:-937.812175785111  B:-817.4365682582827  C:-409.476706897856  y_true:гипер.  y_pred:гипер.
 A:-11.218063353923391  B:480.74942916681994  C:-586.738935994116  y_true:гипер.  y_pred:гипер.
 A:-882.5237585856974  B:289.14043503430565  C:-948.2005725856113  y_true:эллипс  y_pred:эллипс
 A:478.61918168273945  B:-84.6350693365543  C:688.2476618856653  y_true:эллипс  y_pred:эллипс
 A:5.943755537336282  B:899.0811355165517  C:-58.196705944849384  y_true:гипер.  y_pred:гипер.
 A:-475.6190170192869  B:955.8475617564796  C:-422.4422750206647  y_true:гипер.  y_pred:гипер.
 A:-510.6537274897598  B:663.5680110604713  C:-48.61683323166677  y_true:гипер.  y_pred:гипер.
 A:-745.9609241016847  B:454.2777326999938  C:-130.74737939213165  y_true:гипер.  y_pred:гипер.
 A:235.3950619015439  B:-202.34551699202606  C:786.1528570101489  y_true:эллипс  y_pred:эллипс
 A:732.7944053981008  B:630.4684877379215  C:952.8018987261584  y_true:эллипс  y_pred:эллипс
 A:-99.65595675866857  B:232.7854041616577  C:-573.8003699896186  y_true:эллипс  y_pred:эллипс
 A:-59.02797645114566  B:-238.1590558972013  C:67.5520992778551  y_true:гипер.  y_pred:гипер.
 A:-709.1942502443655  B:-302.1515444534741  C:630.4642991189764  y_true:гипер.  y_pred:гипер.
 A:-742.366505212346  B:-232.4417941038417  C:415.8656451008016  y_true:гипер.  y_pred:гипер.
 A:571.3961807475969  B:21.044913663876173  C:-19.49708312139653  y_true:гипер.  y_pred:гипер.
 A:488.6474819409874  B:980.2962468490804  C:14.201915612492622  y_true:гипер.  y_pred:гипер.
 A:-378.2114241718049  B:-894.3633307865396  C:56.56931238286877  y_true:гипер.  y_pred:гипер.
 A:963.4368114587966  B:398.4600481288503  C:-567.01577512857  y_true:гипер.  y_pred:гипер.
 A:837.0735292631695  B:-468.6359955979158  C:463.4532868533854  y_true:эллипс  y_pred:эллипс
 A:-787.846264612742  B:227.1003664688458  C:927.9593429712689  y_true:гипер.  y_pred:гипер.
 A:124.82332493328197  B:-523.8307074269708  C:-673.559949113657  y_true:гипер.  y_pred:гипер.
 A:402.77788118902924  B:-336.6816657322247  C:692.6007739002307  y_true:эллипс  y_pred:эллипс
 A:999.6764320187583  B:449.99619659874134  C:928.3786156625746  y_true:эллипс  y_pred:эллипс
 A:-623.755092374533  B:77.55487887325829  C:987.0464905286523  y_true:гипер.  y_pred:гипер.
 A:871.3469080493151  B:-924.3333379478951  C:995.6549094435019  y_true:эллипс  y_pred:гипер.
 A:44.20479786040921  B:-753.0082715364641  C:-236.62568401214966  y_true:гипер.  y_pred:гипер.
 A:218.59666702933467  B:967.6282395096852  C:-748.9244214265229  y_true:гипер.  y_pred:гипер.
 A:-78.5049869016845  B:-590.8924243382929  C:320.6742928992703  y_true:гипер.  y_pred:гипер.
 A:439.2043694658823  B:-89.94744940385368  C:-631.6207745170727  y_true:гипер.  y_pred:гипер.
